product_line,source
crude oil,Final_Part_2.pdf §5
natural gas,Final_Part_2.pdf §5
coal,Final_Part_2.pdf §5
refined fuels,Final_Part_2.pdf §5
fossil-fired electricity generation,Final_Part_2.pdf §5
internal combustion vehicles and their engines,Final_Part_2.pdf §5
commercial aviation,Final_Part_2.pdf §5
fossil-fuel pipelines and services,Final_Part_2.pdf §5
