ticker,source,category,tco2e,year,reference
AMGN,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
AMGN,GHGRP,fugitive,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
ADI,GHGRP,combustion,12832.104,2023.0,EPA GHGRP 2023 data summary spreadsheets
ADI,GHGRP,process,104939.524108,2023.0,EPA GHGRP 2023 data summary spreadsheets
ADI,GHGRP,fugitive,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
APA,GHGRP,combustion,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
APA,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
APA,GHGRP,fugitive,1037441.444,2023.0,EPA GHGRP 2023 data summary spreadsheets
APA,ClimateTRACE,combustion,610906.0,,"Climate TRACE v7 sources 2024, verified owner, equal split"
AAPL,Wikirate/GRI,fleet,0.0,,Wikirate GRI 305-1 / 305-2
AAPL,Wikirate/GRI,combustion,11989.003171503737,,Wikirate GRI 305-1 / 305-2
AAPL,Wikirate/GRI,process,43210.99682849627,,Wikirate GRI 305-1 / 305-2
AAPL,Wikirate/GRI,fugitive,0.0,,Wikirate GRI 305-1 / 305-2
AAPL,Wikirate/GRI,scope2,1065405.0,,Wikirate GRI 305-1 / 305-2
ADM,GHGRP,combustion,10573786.856,2023.0,EPA GHGRP 2023 data summary spreadsheets
ADM,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
ADM,GHGRP,fugitive,11580.75,2023.0,EPA GHGRP 2023 data summary spreadsheets
ARES,GHGRP,combustion,1817717.564,2023.0,EPA GHGRP 2023 data summary spreadsheets
ARES,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
ARES,GHGRP,fugitive,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
T,Wikirate/GRI,fleet,0.0,,Wikirate GRI 305-1 / 305-2
T,Wikirate/GRI,combustion,1044751.0,,Wikirate GRI 305-1 / 305-2
T,Wikirate/GRI,process,0.0,,Wikirate GRI 305-1 / 305-2
T,Wikirate/GRI,fugitive,0.0,,Wikirate GRI 305-1 / 305-2
T,Wikirate/GRI,scope2,4.74,,Wikirate GRI 305-1 / 305-2
ATO,GHGRP,combustion,121148.192,2023.0,EPA GHGRP 2023 data summary spreadsheets
ATO,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
ATO,GHGRP,fugitive,615972.8575584,2023.0,EPA GHGRP 2023 data summary spreadsheets
BAX,GHGRP,combustion,43203.836,2023.0,EPA GHGRP 2023 data summary spreadsheets
BAX,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
BAX,GHGRP,fugitive,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
BAX,Wikirate/GRI,scope2,480000.0,,Wikirate GRI 305-1 / 305-2
BRK-B,GHGRP,combustion,58989180.572,2023.0,EPA GHGRP 2023 data summary spreadsheets
BRK-B,GHGRP,process,45424.5,2023.0,EPA GHGRP 2023 data summary spreadsheets
BRK-B,GHGRP,fugitive,495912.2991621,2023.0,EPA GHGRP 2023 data summary spreadsheets
BRK-B,Wikirate/GRI,scope2,2654796.0,,Wikirate GRI 305-1 / 305-2
BBY,Wikirate/GRI,fleet,0.0,,Wikirate GRI 305-1 / 305-2
BBY,Wikirate/GRI,combustion,283348.0,,Wikirate GRI 305-1 / 305-2
BBY,Wikirate/GRI,process,0.0,,Wikirate GRI 305-1 / 305-2
BBY,Wikirate/GRI,fugitive,0.0,,Wikirate GRI 305-1 / 305-2
BBY,Wikirate/GRI,scope2,145367.0,,Wikirate GRI 305-1 / 305-2
BIIB,GHGRP,combustion,28268.192,2023.0,EPA GHGRP 2023 data summary spreadsheets
BIIB,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
BIIB,GHGRP,fugitive,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
BA,GHGRP,combustion,151144.822,2023.0,EPA GHGRP 2023 data summary spreadsheets
BA,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
BA,GHGRP,fugitive,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
BA,Wikirate/GRI,scope2,756000.0,,Wikirate GRI 305-1 / 305-2
BMY,GHGRP,combustion,95102.74,2023.0,EPA GHGRP 2023 data summary spreadsheets
BMY,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
BMY,GHGRP,fugitive,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
AVGO,GHGRP,combustion,13161.4,2023.0,EPA GHGRP 2023 data summary spreadsheets
AVGO,GHGRP,process,21295.651985,2023.0,EPA GHGRP 2023 data summary spreadsheets
AVGO,GHGRP,fugitive,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
BG,Wikirate/GRI,fleet,0.0,,Wikirate GRI 305-1 / 305-2
BG,Wikirate/GRI,combustion,1722634.0,,Wikirate GRI 305-1 / 305-2
BG,Wikirate/GRI,process,0.0,,Wikirate GRI 305-1 / 305-2
BG,Wikirate/GRI,fugitive,0.0,,Wikirate GRI 305-1 / 305-2
BG,Wikirate/GRI,scope2,1549444.0,,Wikirate GRI 305-1 / 305-2
CCL,10-K fleet,fleet,8411920.569337772,,Latest 10-K fuel disclosure x EPA Emission Factors Hub 2025 Table 2
CCL,Wikirate/GRI,combustion,1907554.4306622278,,Wikirate GRI 305-1 / 305-2
CCL,Wikirate/GRI,process,0.0,,Wikirate GRI 305-1 / 305-2
CCL,Wikirate/GRI,fugitive,0.0,,Wikirate GRI 305-1 / 305-2
CCL,Wikirate/GRI,scope2,66246.0,,Wikirate GRI 305-1 / 305-2
CAT,GHGRP,combustion,300110.238,2023.0,EPA GHGRP 2023 data summary spreadsheets
CAT,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
CAT,GHGRP,fugitive,156791.5,2023.0,EPA GHGRP 2023 data summary spreadsheets
CAT,Wikirate/GRI,scope2,800000.0,,Wikirate GRI 305-1 / 305-2
CBRE,Wikirate/GRI,fleet,0.0,,Wikirate GRI 305-1 / 305-2
CBRE,Wikirate/GRI,combustion,34654.0,,Wikirate GRI 305-1 / 305-2
CBRE,Wikirate/GRI,process,0.0,,Wikirate GRI 305-1 / 305-2
CBRE,Wikirate/GRI,fugitive,0.0,,Wikirate GRI 305-1 / 305-2
CBRE,Wikirate/GRI,scope2,30605.0,,Wikirate GRI 305-1 / 305-2
CNP,GHGRP,combustion,3741577.852,2023.0,EPA GHGRP 2023 data summary spreadsheets
CNP,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
CNP,GHGRP,fugitive,491947.5352,2023.0,EPA GHGRP 2023 data summary spreadsheets
CF,GHGRP,combustion,5789971.109999999,2023.0,EPA GHGRP 2023 data summary spreadsheets
CF,GHGRP,process,14789453.064,2023.0,EPA GHGRP 2023 data summary spreadsheets
CF,GHGRP,fugitive,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
CF,ClimateTRACE,process,2084917.451361155,,"Climate TRACE v7 sources 2024, verified owner, equal split"
CVX,GHGRP,combustion,11370685.516,2023.0,EPA GHGRP 2023 data summary spreadsheets
CVX,GHGRP,process,5041147.96,2023.0,EPA GHGRP 2023 data summary spreadsheets
CVX,GHGRP,fugitive,4824208.328,2023.0,EPA GHGRP 2023 data summary spreadsheets
CVX,ClimateTRACE,combustion,296413.3333333333,,"Climate TRACE v7 sources 2024, verified owner, equal split"
CVX,ClimateTRACE,process,6467227.251978723,,"Climate TRACE v7 sources 2024, verified owner, equal split"
CVX,Wikirate/GRI,scope2,4000000.0,,Wikirate GRI 305-1 / 305-2
CI,Wikirate/GRI,fleet,0.0,,Wikirate GRI 305-1 / 305-2
CI,Wikirate/GRI,combustion,12814.0,,Wikirate GRI 305-1 / 305-2
CI,Wikirate/GRI,process,0.0,,Wikirate GRI 305-1 / 305-2
CI,Wikirate/GRI,fugitive,0.0,,Wikirate GRI 305-1 / 305-2
CI,Wikirate/GRI,scope2,116420.0,,Wikirate GRI 305-1 / 305-2
CSCO,Wikirate/GRI,fleet,0.0,,Wikirate GRI 305-1 / 305-2
CSCO,Wikirate/GRI,combustion,4995417.988126557,,Wikirate GRI 305-1 / 305-2
CSCO,Wikirate/GRI,process,18004582.011873446,,Wikirate GRI 305-1 / 305-2
CSCO,Wikirate/GRI,fugitive,0.0,,Wikirate GRI 305-1 / 305-2
CMS,GHGRP,combustion,17169054.104000002,2023.0,EPA GHGRP 2023 data summary spreadsheets
CMS,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
CMS,GHGRP,fugitive,227400.014,2023.0,EPA GHGRP 2023 data summary spreadsheets
KO,Wikirate/GRI,fleet,0.0,,Wikirate GRI 305-1 / 305-2
KO,Wikirate/GRI,combustion,4400000.0,,Wikirate GRI 305-1 / 305-2
KO,Wikirate/GRI,process,0.0,,Wikirate GRI 305-1 / 305-2
KO,Wikirate/GRI,fugitive,0.0,,Wikirate GRI 305-1 / 305-2
KO,Wikirate/GRI,scope2,3880000.0,,Wikirate GRI 305-1 / 305-2
CL,Wikirate/GRI,fleet,0.0,,Wikirate GRI 305-1 / 305-2
CL,Wikirate/GRI,combustion,195000.0,,Wikirate GRI 305-1 / 305-2
CL,Wikirate/GRI,process,0.0,,Wikirate GRI 305-1 / 305-2
CL,Wikirate/GRI,fugitive,0.0,,Wikirate GRI 305-1 / 305-2
CL,Wikirate/GRI,scope2,316000.0,,Wikirate GRI 305-1 / 305-2
COP,GHGRP,combustion,1200814.306,2023.0,EPA GHGRP 2023 data summary spreadsheets
COP,GHGRP,process,160.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
COP,GHGRP,fugitive,7901609.948,2023.0,EPA GHGRP 2023 data summary spreadsheets
COP,ClimateTRACE,process,493141.9142268339,,"Climate TRACE v7 sources 2024, verified owner, equal split"
COP,Wikirate/GRI,scope2,1060000.0,,Wikirate GRI 305-1 / 305-2
ED,GHGRP,combustion,2463230.61,2023.0,EPA GHGRP 2023 data summary spreadsheets
ED,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
ED,GHGRP,fugitive,234296.768,2023.0,EPA GHGRP 2023 data summary spreadsheets
CEG,GHGRP,combustion,8941169.546,2023.0,EPA GHGRP 2023 data summary spreadsheets
CEG,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
CEG,GHGRP,fugitive,151.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
GLW,GHGRP,combustion,177405.932,2023.0,EPA GHGRP 2023 data summary spreadsheets
GLW,GHGRP,process,354.4,2023.0,EPA GHGRP 2023 data summary spreadsheets
GLW,GHGRP,fugitive,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
CTVA,GHGRP,combustion,82753.73999999999,2023.0,EPA GHGRP 2023 data summary spreadsheets
CTVA,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
CTVA,GHGRP,fugitive,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
CSX,Wikirate/GRI,fleet,0.0,,Wikirate GRI 305-1 / 305-2
CSX,Wikirate/GRI,combustion,5212604.0,,Wikirate GRI 305-1 / 305-2
CSX,Wikirate/GRI,process,0.0,,Wikirate GRI 305-1 / 305-2
CSX,Wikirate/GRI,fugitive,0.0,,Wikirate GRI 305-1 / 305-2
CSX,Wikirate/GRI,scope2,327528.0,,Wikirate GRI 305-1 / 305-2
CMI,Wikirate/GRI,fleet,0.0,,Wikirate GRI 305-1 / 305-2
CMI,Wikirate/GRI,combustion,269000.0,,Wikirate GRI 305-1 / 305-2
CMI,Wikirate/GRI,process,0.0,,Wikirate GRI 305-1 / 305-2
CMI,Wikirate/GRI,fugitive,0.0,,Wikirate GRI 305-1 / 305-2
CMI,Wikirate/GRI,scope2,465000.0,,Wikirate GRI 305-1 / 305-2
DECK,Wikirate/GRI,fleet,0.0,,Wikirate GRI 305-1 / 305-2
DECK,Wikirate/GRI,combustion,460.54,,Wikirate GRI 305-1 / 305-2
DECK,Wikirate/GRI,process,0.0,,Wikirate GRI 305-1 / 305-2
DECK,Wikirate/GRI,fugitive,0.0,,Wikirate GRI 305-1 / 305-2
DECK,Wikirate/GRI,scope2,285.6,,Wikirate GRI 305-1 / 305-2
DE,GHGRP,combustion,45075.88,2023.0,EPA GHGRP 2023 data summary spreadsheets
DE,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
DE,GHGRP,fugitive,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
DELL,Wikirate/GRI,fleet,0.0,,Wikirate GRI 305-1 / 305-2
DELL,Wikirate/GRI,combustion,12814.33309997682,,Wikirate GRI 305-1 / 305-2
DELL,Wikirate/GRI,process,46185.666900023185,,Wikirate GRI 305-1 / 305-2
DELL,Wikirate/GRI,fugitive,0.0,,Wikirate GRI 305-1 / 305-2
DELL,Wikirate/GRI,scope2,751500.0,,Wikirate GRI 305-1 / 305-2
DAL,GHGRP,combustion,842329.4519999999,2023.0,EPA GHGRP 2023 data summary spreadsheets
DAL,GHGRP,process,413767.41,2023.0,EPA GHGRP 2023 data summary spreadsheets
DAL,GHGRP,fugitive,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
DAL,10-K fleet,fleet,41622750.0,,Latest 10-K fuel disclosure x EPA Emission Factors Hub 2025 Table 2
DAL,Wikirate/GRI,scope2,266545.0,,Wikirate GRI 305-1 / 305-2
DVN,GHGRP,combustion,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
DVN,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
