ticker,cik,adsh,period,status,filing_url
COST,909832,0000909832-25-000101,20250831,tagged,https://www.sec.gov/Archives/edgar/data/909832/000090983225000101/
CRH,849395,0001628280-26-009043,20251231,tagged,https://www.sec.gov/Archives/edgar/data/849395/000162828026009043/
CSX,277948,0000277948-26-000006,20251231,tagged,https://www.sec.gov/Archives/edgar/data/277948/000027794826000006/
CMI,26172,0000026172-26-000009,20251231,tagged,https://www.sec.gov/Archives/edgar/data/26172/000002617226000009/
DRI,940944,0000940944-25-000038,20250531,tagged,https://www.sec.gov/Archives/edgar/data/940944/000094094425000038/
DECK,910521,0001628280-26-037664,20260331,tagged,https://www.sec.gov/Archives/edgar/data/910521/000162828026037664/
DE,315189,0001104659-25-122321,20251031,tagged,https://www.sec.gov/Archives/edgar/data/315189/000110465925122321/
DAL,27904,0000027904-26-000013,20251231,tagged,https://www.sec.gov/Archives/edgar/data/27904/000002790426000013/
DVN,1090012,0001193125-26-056485,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1090012/000119312526056485/
FANG,1539838,0001539838-26-000010,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1539838/000153983826000010/
DG,29534,0001104659-26-032325,20260131,tagged,https://www.sec.gov/Archives/edgar/data/29534/000110465926032325/
DLTR,935703,0000935703-26-000025,20260131,tagged,https://www.sec.gov/Archives/edgar/data/935703/000093570326000025/
D,715957,0001193125-26-063120,20251231,tagged,https://www.sec.gov/Archives/edgar/data/715957/000119312526063120/
DPZ,1286681,0001193125-26-062321,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1286681/000119312526062321/
DASH,1792789,0001792789-26-000013,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1792789/000179278926000013/
DOV,29905,0000029905-26-000009,20251231,tagged,https://www.sec.gov/Archives/edgar/data/29905/000002990526000009/
DOW,1751788,0001751788-26-000018,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1751788/000175178826000018/
DHI,882184,0000882184-25-000081,20250930,tagged,https://www.sec.gov/Archives/edgar/data/882184/000088218425000081/
DTE,936340,0000936340-26-000054,20251231,tagged,https://www.sec.gov/Archives/edgar/data/936340/000093634026000054/
DUK,1326160,0001326160-26-000014,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1326160/000132616026000014/
DD,1666700,0001666700-26-000013,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1666700/000166670026000013/
ETN,1551182,0001551182-26-000007,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000007/
EBAY,1065088,0001065088-26-000027,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1065088/000106508826000027/
ECL,31462,0001104659-26-018357,20251231,tagged,https://www.sec.gov/Archives/edgar/data/31462/000110465926018357/
EIX,827052,0000827052-26-000012,20251231,untagged,https://www.sec.gov/Archives/edgar/data/827052/000082705226000012/
EME,105634,0000105634-26-000025,20251231,untagged,https://www.sec.gov/Archives/edgar/data/105634/000010563426000025/
EMR,32604,0000032604-25-000087,20250930,tagged,https://www.sec.gov/Archives/edgar/data/32604/000003260425000087/
ETR,65984,0000065984-26-000174,20251231,tagged,https://www.sec.gov/Archives/edgar/data/65984/000006598426000174/
EOG,821189,0000821189-26-000054,20251231,tagged,https://www.sec.gov/Archives/edgar/data/821189/000082118926000054/
EQT,33213,0000033213-26-000018,20251231,tagged,https://www.sec.gov/Archives/edgar/data/33213/000003321326000018/
EFX,33185,0000033185-26-000010,20251231,tagged,https://www.sec.gov/Archives/edgar/data/33185/000003318526000010/
EL,1001250,0001001250-25-000099,20250630,untagged,https://www.sec.gov/Archives/edgar/data/1001250/000100125025000099/
EVRG,1711269,0001711269-26-000017,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1711269/000171126926000017/
ES,72741,0001628280-26-008461,20251231,tagged,https://www.sec.gov/Archives/edgar/data/72741/000162828026008461/
EXC,1109357,0001109357-26-000018,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1109357/000110935726000018/
EXE,895126,0000895126-26-000011,20251231,tagged,https://www.sec.gov/Archives/edgar/data/895126/000089512626000011/
EXPE,1324424,0001324424-26-000008,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1324424/000132442426000008/
EXPD,746515,0001193125-26-071569,20251231,tagged,https://www.sec.gov/Archives/edgar/data/746515/000119312526071569/
XOM,2115436,,,no-10k,
FAST,815556,0000815556-26-000009,20251231,untagged,https://www.sec.gov/Archives/edgar/data/815556/000081555626000009/
FDX,1048911,0001048911-25-000011,20250531,tagged,https://www.sec.gov/Archives/edgar/data/1048911/000104891125000011/
FDXF,2082247,,,no-10k,
FERG,2011641,0002011641-25-000027,20250731,tagged,https://www.sec.gov/Archives/edgar/data/2011641/000201164125000027/
FE,1031296,0001031296-26-000046,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1031296/000103129626000046/
