ticker,segment,revenue,share,class,fiscal_year,filing_url,method
MMM,ConsumerSegment,4920000000.0,0.2001953125,neutral,2025,https://www.sec.gov/Archives/edgar/data/66740/000006674026000014/,xbrl
MMM,SafetyAndIndustrialSegment,11384000000.0,0.4632161458333333,neutral,2025,https://www.sec.gov/Archives/edgar/data/66740/000006674026000014/,xbrl
MMM,TransportationAndElectronicsSegment,8272000000.0,0.3365885416666667,neutral,2025,https://www.sec.gov/Archives/edgar/data/66740/000006674026000014/,xbrl
AOS,ReportableSegments,3830200000.0,0.4977647242293497,beneficiary,2025,https://www.sec.gov/Archives/edgar/data/91142/000009114226000008/,xbrl
AOS,RestOfWorld,880400000.0,0.11441492956282165,beneficiary,2025,https://www.sec.gov/Archives/edgar/data/91142/000009114226000008/,xbrl
AOS,NorthAmericaSegment,2984200000.0,0.3878203462078287,beneficiary,2025,https://www.sec.gov/Archives/edgar/data/91142/000009114226000008/,xbrl
AES,NewEnergyTechnologies,1000000.0,7.49737591842855e-05,beneficiary,2025,https://www.sec.gov/Archives/edgar/data/874761/000087476126000063/,xbrl
AES,Renewables,2913000000.0,0.21839856050382367,beneficiary,2025,https://www.sec.gov/Archives/edgar/data/874761/000087476126000063/,xbrl
AES,Utilities,4122000000.0,0.3090418353576248,electricity_generation,2025,https://www.sec.gov/Archives/edgar/data/874761/000087476126000063/,xbrl
AES,EnergyInfrastructure,5402000000.0,0.40500824711351024,beneficiary,2025,https://www.sec.gov/Archives/edgar/data/874761/000087476126000063/,xbrl
AES,AESAndes,900000000.0,0.06747638326585695,electricity_generation,2025,https://www.sec.gov/Archives/edgar/data/874761/000087476126000063/,xbrl
APD,Merchant,5336900000.0,0.4433635449810173,neutral,2025,https://www.sec.gov/Archives/edgar/data/2969/000000296925000055/,xbrl
APD,Onsite,6180400000.0,0.5134373987522118,neutral,2025,https://www.sec.gov/Archives/edgar/data/2969/000000296925000055/,xbrl
APD,SaleofEquipment,520000000.0,0.043199056266770786,neutral,2025,https://www.sec.gov/Archives/edgar/data/2969/000000296925000055/,xbrl
ABNB,ReportableSegment,12241000000.0,1.0,neutral,2025,https://www.sec.gov/Archives/edgar/data/1559720/000155972026000004/,xbrl
ALB,Specialties,1366435000.0,0.2657021081981118,neutral,2025,https://www.sec.gov/Archives/edgar/data/915913/000091591326000018/,xbrl
ALB,EnergyStorage,2710035000.0,0.5269639703247281,beneficiary,2025,https://www.sec.gov/Archives/edgar/data/915913/000091591326000018/,xbrl
ALB,Ketjen,1066263000.0,0.2073339214771601,neutral,2025,https://www.sec.gov/Archives/edgar/data/915913/000091591326000018/,xbrl
ALLE,Alle_AllegionAmericas,3218800000.0,0.791384948245765,neutral,2025,https://www.sec.gov/Archives/edgar/data/1579241/000157924126000007/,xbrl
ALLE,AllegionInternational,848500000.0,0.208615051754235,neutral,2025,https://www.sec.gov/Archives/edgar/data/1579241/000157924126000007/,xbrl
LNT,Ipl,2208000000.0,0.51673297449099,electricity_generation,2025,https://www.sec.gov/Archives/edgar/data/352541/000035254126000007/,xbrl
LNT,Wpl,2065000000.0,0.4832670255090101,electricity_generation,2025,https://www.sec.gov/Archives/edgar/data/352541/000035254126000007/,xbrl
MO,EVapor,-13000000.0,-0.0005582513848928586,neutral,2025,https://www.sec.gov/Archives/edgar/data/764180/000076418026000017/,xbrl
MO,OralTobaccoSegment,2802000000.0,0.1203246446515223,neutral,2025,https://www.sec.gov/Archives/edgar/data/764180/000076418026000017/,xbrl
MO,SmokeableProductsSegment,20485000000.0,0.8796753553484777,neutral,2025,https://www.sec.gov/Archives/edgar/data/764180/000076418026000017/,xbrl
AMZN,NorthAmericaSegment,426305000000.0,0.5946306721493492,neutral,2025,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/,xbrl
AMZN,InternationalSegment,161894000000.0,0.2258175204066261,neutral,2025,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/,xbrl
AMZN,AmazonWebServicesSegment,128725000000.0,0.17955180744402474,neutral,2025,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/,xbrl
AMCR,OtherSegment,0.0,0.0,neutral,2025,https://www.sec.gov/Archives/edgar/data/1748790/000174879025000023/,xbrl
AMCR,RigidPackagingSegment,4137000000.0,0.27563461922846294,neutral,2025,https://www.sec.gov/Archives/edgar/data/1748790/000174879025000023/,xbrl
AMCR,FlexiblesSegment,10872000000.0,0.7243653807715371,neutral,2025,https://www.sec.gov/Archives/edgar/data/1748790/000174879025000023/,xbrl
AEE,Electricity,7668000000.0,0.8714626662120696,electricity_generation,2025,https://www.sec.gov/Archives/edgar/data/1002910/000100291026000009/,xbrl
AEE,NaturalGasReserves,1131000000.0,0.12853733378793045,exposed,2025,https://www.sec.gov/Archives/edgar/data/1002910/000100291026000009/,xbrl
AEP,ProductAndServiceOther,526000000.0,0.024044615103309564,neutral,2025,https://www.sec.gov/Archives/edgar/data/4904/000000490426000013/,xbrl
AEP,Electricity,12556000000.0,0.5739623331504845,electricity_generation,2025,https://www.sec.gov/Archives/edgar/data/4904/000000490426000013/,xbrl
AEP,TransmissionandDistributionUtilitiesRevenues,6097000000.0,0.278707259096727,neutral,2025,https://www.sec.gov/Archives/edgar/data/4904/000000490426000013/,xbrl
AEP,GenerationAndMarketingRevenues,2697000000.0,0.12328579264947888,electricity_generation,2025,https://www.sec.gov/Archives/edgar/data/4904/000000490426000013/,xbrl
AWK,RegulatedBusiness,4723000000.0,1.0,neutral,2025,https://www.sec.gov/Archives/edgar/data/1410636/000141063626000034/,xbrl
AME,AerospaceAndPower,2187172000.0,0.29551921629116473,neutral,2025,https://www.sec.gov/Archives/edgar/data/1037868/000103786826000016/,xbrl
AME,ProcessAndAnalyticalInstrumentation,3464289000.0,0.4680765711549447,neutral,2025,https://www.sec.gov/Archives/edgar/data/1037868/000103786826000016/,xbrl
AME,AutomationAndEngineeredSolutions,1749655000.0,0.23640421255389052,neutral,2025,https://www.sec.gov/Archives/edgar/data/1037868/000103786826000016/,xbrl
APA,OilAndGas,8920000000.0,0.8406370747337668,exposed,2025,https://www.sec.gov/Archives/edgar/data/1841666/000184166626000015/,xbrl
APA,OilAndGasPurchased,1691000000.0,0.15936292526623316,exposed,2025,https://www.sec.gov/Archives/edgar/data/1841666/000184166626000015/,xbrl
APTV,EngineeredComponentsGroup,6662000000.0,0.31318164723580294,neutral,2025,https://www.sec.gov/Archives/edgar/data/1521332/000152133226000009/,xbrl
APTV,AdvancedSafetyandUserExperience,5792000000.0,0.2722828130876269,neutral,2025,https://www.sec.gov/Archives/edgar/data/1521332/000152133226000009/,xbrl
APTV,ElectricalDistributionSystems,8818000000.0,0.41453553967657014,neutral,2025,https://www.sec.gov/Archives/edgar/data/1521332/000152133226000009/,xbrl
ADM,AgServicesandOilseeds,61571000000.0,0.7713730894512654,neutral,2025,https://www.sec.gov/Archives/edgar/data/7084/000000708426000011/,xbrl
ADM,CarbohydrateSolutions,10737000000.0,0.13451515910799297,neutral,2025,https://www.sec.gov/Archives/edgar/data/7084/000000708426000011/,xbrl
