ticker,adsh,ddate,axis,tag,member,revenue,filing_url
AEP,0000004904-26-000013,20251231,ProductOrService,Revenues,GenerationAndMarketingRevenues,2697000000.0,https://www.sec.gov/Archives/edgar/data/4904/000000490426000013/
AWK,0001410636-26-000034,20251231,BusinessSegments,RegulatedAndUnregulatedOperatingRevenue,RegulatedBusiness,4723000000.0,https://www.sec.gov/Archives/edgar/data/1410636/000141063626000034/
AME,0001037868-26-000016,20251231,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,AerospaceAndPower,2187172000.0,https://www.sec.gov/Archives/edgar/data/1037868/000103786826000016/
AME,0001037868-26-000016,20251231,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,ProcessAndAnalyticalInstrumentation,3464289000.0,https://www.sec.gov/Archives/edgar/data/1037868/000103786826000016/
AME,0001037868-26-000016,20251231,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,AutomationAndEngineeredSolutions,1749655000.0,https://www.sec.gov/Archives/edgar/data/1037868/000103786826000016/
APA,0001841666-26-000015,20251231,ProductOrService,Revenues,OilAndGas,8920000000.0,https://www.sec.gov/Archives/edgar/data/1841666/000184166626000015/
APA,0001841666-26-000015,20251231,ProductOrService,Revenues,OilAndGasPurchased,1691000000.0,https://www.sec.gov/Archives/edgar/data/1841666/000184166626000015/
APTV,0001521332-26-000009,20251231,BusinessSegments,Revenues,EngineeredComponentsGroup,6662000000.0,https://www.sec.gov/Archives/edgar/data/1521332/000152133226000009/
APTV,0001521332-26-000009,20251231,BusinessSegments,Revenues,AdvancedSafetyandUserExperience,5792000000.0,https://www.sec.gov/Archives/edgar/data/1521332/000152133226000009/
APTV,0001521332-26-000009,20251231,BusinessSegments,Revenues,ElectricalDistributionSystems,8818000000.0,https://www.sec.gov/Archives/edgar/data/1521332/000152133226000009/
ADM,0000007084-26-000011,20251231,BusinessSegments,Revenues,AgServicesandOilseeds,61571000000.0,https://www.sec.gov/Archives/edgar/data/7084/000000708426000011/
ADM,0000007084-26-000011,20251231,BusinessSegments,Revenues,CarbohydrateSolutions,10737000000.0,https://www.sec.gov/Archives/edgar/data/7084/000000708426000011/
ADM,0000007084-26-000011,20251231,BusinessSegments,Revenues,Nutrition,7512000000.0,https://www.sec.gov/Archives/edgar/data/7084/000000708426000011/
ATO,0000731802-25-000056,20250930,BusinessSegments,Revenues,DistributionSegment,4422355000.0,https://www.sec.gov/Archives/edgar/data/731802/000073180225000056/
ATO,0000731802-25-000056,20250930,BusinessSegments,Revenues,PipelineandStorageSegment,280400000.0,https://www.sec.gov/Archives/edgar/data/731802/000073180225000056/
ADP,0000008670-25-000037,20250630,BusinessSegments,RevenueFromContractWithCustomerExcludingAssessedTax,EmployerServicesSegment,13883100000.0,https://www.sec.gov/Archives/edgar/data/8670/000000867025000037/
ADP,0000008670-25-000037,20250630,BusinessSegments,RevenueFromContractWithCustomerExcludingAssessedTax,ProfessionalEmployeeOrganizationServicesSegment,6690400000.0,https://www.sec.gov/Archives/edgar/data/8670/000000867025000037/
AZO,0001104659-25-102611,20250831,BusinessSegments,Revenues,AutoPartsLocations,18938717000.0,https://www.sec.gov/Archives/edgar/data/866787/000110465925102611/
AVY,0000008818-26-000015,20251231,BusinessSegments,RevenueFromContractWithCustomerExcludingAssessedTax,MaterialsGroupSegment,6093300000.0,https://www.sec.gov/Archives/edgar/data/8818/000000881826000015/
AVY,0000008818-26-000015,20251231,BusinessSegments,RevenueFromContractWithCustomerExcludingAssessedTax,SolutionsGroupSegment,2762200000.0,https://www.sec.gov/Archives/edgar/data/8818/000000881826000015/
AXON,0001628280-26-011360,20251231,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,PlatformSolutions,265946000.0,https://www.sec.gov/Archives/edgar/data/1069183/000162828026011360/
AXON,0001628280-26-011360,20251231,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,PersonalSensors,397035000.0,https://www.sec.gov/Archives/edgar/data/1069183/000162828026011360/
AXON,0001628280-26-011360,20251231,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,TASERDevicesProfessional,913883000.0,https://www.sec.gov/Archives/edgar/data/1069183/000162828026011360/
AXON,0001628280-26-011360,20251231,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,SoftwareAndServices,1202672000.0,https://www.sec.gov/Archives/edgar/data/1069183/000162828026011360/
AXON,0001628280-26-011360,20251231,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,Service,1202672000.0,https://www.sec.gov/Archives/edgar/data/1069183/000162828026011360/
AXON,0001628280-26-011360,20251231,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,Product,1576864000.0,https://www.sec.gov/Archives/edgar/data/1069183/000162828026011360/
BKR,0001701605-26-000007,20251231,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,Product,18216000000.0,https://www.sec.gov/Archives/edgar/data/1701605/000170160526000007/
BKR,0001701605-26-000007,20251231,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,Service,9517000000.0,https://www.sec.gov/Archives/edgar/data/1701605/000170160526000007/
BALL,0001104659-26-017410,20251231,BusinessSegments,RevenueFromContractWithCustomerIncludingAssessedTax,MetalBeveragePackagingEurope,3983000000.0,https://www.sec.gov/Archives/edgar/data/9389/000110465926017410/
BALL,0001104659-26-017410,20251231,BusinessSegments,RevenueFromContractWithCustomerIncludingAssessedTax,MetalBeveragePackagingNorthAndCentralAmerica,6286000000.0,https://www.sec.gov/Archives/edgar/data/9389/000110465926017410/
BALL,0001104659-26-017410,20251231,BusinessSegments,RevenueFromContractWithCustomerIncludingAssessedTax,MetalBeveragePackagingSouthAmerica,2162000000.0,https://www.sec.gov/Archives/edgar/data/9389/000110465926017410/
BBY,0000764478-26-000009,20260131,BusinessSegments,RevenueFromContractWithCustomerIncludingAssessedTax,DomesticSegment,38278000000.0,https://www.sec.gov/Archives/edgar/data/764478/000076447826000009/
BBY,0000764478-26-000009,20260131,BusinessSegments,RevenueFromContractWithCustomerIncludingAssessedTax,InternationalSegment,3413000000.0,https://www.sec.gov/Archives/edgar/data/764478/000076447826000009/
BA,0001628280-26-004357,20251231,ProductOrService,Revenues,Service,14107000000.0,https://www.sec.gov/Archives/edgar/data/12927/000162828026004357/
BA,0001628280-26-004357,20251231,ProductOrService,Revenues,Product,75356000000.0,https://www.sec.gov/Archives/edgar/data/12927/000162828026004357/
BKNG,0001075531-26-000009,20251231,ProductOrService,Revenues,Advertisingandotherrevenues,1194000000.0,https://www.sec.gov/Archives/edgar/data/1075531/000107553126000009/
BKNG,0001075531-26-000009,20251231,ProductOrService,Revenues,MerchantRevenue,17755000000.0,https://www.sec.gov/Archives/edgar/data/1075531/000107553126000009/
BKNG,0001075531-26-000009,20251231,ProductOrService,Revenues,AgencyRevenue,7968000000.0,https://www.sec.gov/Archives/edgar/data/1075531/000107553126000009/
BR,0001628280-25-037656,20250630,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,DistributionRevenue,2062000000.0,https://www.sec.gov/Archives/edgar/data/1383312/000162828025037656/
BR,0001628280-25-037656,20250630,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,EventDrivenRevenue,319300000.0,https://www.sec.gov/Archives/edgar/data/1383312/000162828025037656/
BR,0001628280-25-037656,20250630,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,RecurringFeeRevenue,4507900000.0,https://www.sec.gov/Archives/edgar/data/1383312/000162828025037656/
BF-B,0000014693-26-000024,20260430,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,Nonbrandedandbulk,33000000.0,https://www.sec.gov/Archives/edgar/data/14693/000001469326000024/
BF-B,0000014693-26-000024,20260430,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,ReadyToDrink,542000000.0,https://www.sec.gov/Archives/edgar/data/14693/000001469326000024/
BF-B,0000014693-26-000024,20260430,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,Restofportfolio,201000000.0,https://www.sec.gov/Archives/edgar/data/14693/000001469326000024/
BF-B,0000014693-26-000024,20260430,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,Tequila,251000000.0,https://www.sec.gov/Archives/edgar/data/14693/000001469326000024/
