ticker,status
CVX,not-found
CEG,extracted
EIX,not-found
EME,extracted
EL,extracted
FAST,extracted
LYB,extracted
NEE,extracted
OXY,not-found
PNW,extracted
SW,extracted
STLD,extracted
ULTA,extracted
VRSK,not-found
XEL,extracted
