,env_intensity,esg_risk,controversy,asset_turnover,profit_margin,fcf_margin,leverage
env_intensity,1.0,0.4051,0.1537,0.0309,0.1448,0.3464,0.3144
esg_risk,0.4051,1.0,0.4546,0.0397,0.0514,0.2252,0.0067
controversy,0.1537,0.4546,1.0,-0.1361,0.1054,0.222,-0.0131
asset_turnover,0.0309,0.0397,-0.1361,1.0,-0.232,-0.181,0.4071
profit_margin,0.1448,0.0514,0.1054,-0.232,1.0,0.3996,0.1894
fcf_margin,0.3464,0.2252,0.222,-0.181,0.3996,1.0,0.1039
leverage,0.3144,0.0067,-0.0131,0.4071,0.1894,0.1039,1.0
